رقم القيد الأصلي (قيود),التاريخ,البيان,رقم الحساب القديم,اسم الحساب,مدين,دائن,ملاحظة السطر
68,2024-06-05,قيد يدوي رقم 68 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,12050.0,,
68,2024-06-05,قيد يدوي رقم 68 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,3900.0,
68,2024-06-05,قيد يدوي رقم 68 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,2000.0,
68,2024-06-05,قيد يدوي رقم 68 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,2000.0,
68,2024-06-05,قيد يدوي رقم 68 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,150.0,
68,2024-06-05,قيد يدوي رقم 68 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,3000.0,
68,2024-06-05,قيد يدوي رقم 68 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,1000.0,كاش
10,2024-06-12,قيد يدوي رقم 10 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,100000.0,,
10,2024-06-12,قيد يدوي رقم 10 - أنشئ بواسطة محاسب ارمي,110201,حساب البنك الاهلي 12300001016808,,100000.0,
16,2024-06-12,قيد يدوي رقم 16 - أنشئ بواسطة محاسب ارمي,110201,حساب البنك الاهلي 12300001016808,100000.0,,
16,2024-06-12,قيد يدوي رقم 16 - أنشئ بواسطة محاسب ارمي,3201,جاري الشريك بدر القرني,,100000.0,
19,2024-06-20,قيد يدوي رقم 19 - أنشئ بواسطة محاسب ارمي,120103,المعدات,782970.87,,
19,2024-06-20,قيد يدوي رقم 19 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,61000.0,حوالة من يسم 
19,2024-06-20,قيد يدوي رقم 19 - أنشئ بواسطة محاسب ارمي,110201,حساب البنك الاهلي 12300001016808,,358037.68,حوالة من الاهلي 
